week,home_team,away_team,temperature,gust,precipitation,home_team_score,away_team_score,indoor,neutral_site,country,city,state,date
7,MIN,PHI,,,,22,28,True,False,USA,Minneapolis,MN,2025-10-19T17:00Z
7,NYJ,CAR,69,27,0.0,6,13,False,False,USA,East Rutherford,NJ,2025-10-19T17:00Z
7,DEN,NYG,73,10,0.0,33,32,False,False,USA,Denver,CO,2025-10-19T20:05Z
7,LAC,IND,80,8,0.0,24,38,False,False,USA,Inglewood,CA,2025-10-19T20:05Z
7,DAL,WSH,,,,44,22,True,False,USA,Arlington,TX,2025-10-19T20:25Z
7,ARI,GB,,,,23,27,True,False,USA,Glendale,AZ,2025-10-19T20:25Z
7,SF,ATL,80,12,0.0,20,10,False,False,USA,Santa Clara,CA,2025-10-20T00:20Z
7,DET,TB,,,,24,9,True,False,USA,Detroit,MI,2025-10-20T23:00Z
7,SEA,HOU,53,7,0.0,27,19,False,False,USA,Seattle,WA,2025-10-21T02:00Z
8,LAC,MIN,68,21,0.0,37,10,False,False,USA,Inglewood,CA,2025-10-24T00:15Z
8,ATL,MIA,,,,10,34,True,False,USA,Atlanta,GA,2025-10-26T17:00Z
8,CIN,NYJ,57,18,0.0,38,39,False,False,USA,Cincinnati,OH,2025-10-26T17:00Z
8,NE,CLE,54,17,0.0,32,13,False,False,USA,Foxborough,MA,2025-10-26T17:00Z
8,PHI,NYG,62,13,0.0,38,20,False,False,USA,Philadelphia,PA,2025-10-26T17:00Z
8,CAR,BUF,61,20,0.0,9,40,False,False,USA,Charlotte,NC,2025-10-26T17:00Z
8,BAL,CHI,60,8,0.0,30,16,False,False,USA,Baltimore,MD,2025-10-26T17:00Z
8,HOU,SF,,,,26,15,True,False,USA,Houston,TX,2025-10-26T17:00Z
8,NO,TB,,,,3,23,True,False,USA,New Orleans,LA,2025-10-26T20:05Z
8,DEN,DAL,71,10,0.0,44,24,False,False,USA,Denver,CO,2025-10-26T20:25Z
8,IND,TEN,,,,38,14,True,False,USA,Indianapolis,IN,2025-10-26T20:25Z
8,PIT,GB,49,19,0.0,25,35,False,False,USA,Pittsburgh,PA,2025-10-27T00:20Z
8,KC,WSH,48,31,0.04,28,7,False,False,USA,Kansas City,MO,2025-10-28T00:15Z
9,MIA,BAL,67,8,0.0,6,28,False,False,USA,Miami Gardens,FL,2025-10-31T00:15Z
9,CIN,CHI,48,8,0.0,42,47,False,False,USA,Cincinnati,OH,2025-11-02T18:00Z
9,DET,MIN,,,,24,27,True,False,USA,Detroit,MI,2025-11-02T18:00Z
9,GB,CAR,46,22,0.0,13,16,False,False,USA,Green Bay,WI,2025-11-02T18:00Z
9,TEN,LAC,49,14,0.01,20,27,False,False,USA,Nashville,TN,2025-11-02T18:00Z
9,NE,ATL,49,19,0.0,24,23,False,False,USA,Foxborough,MA,2025-11-02T18:00Z
9,NYG,SF,54,10,0.0,24,34,False,False,USA,East Rutherford,NJ,2025-11-02T18:00Z
9,PIT,IND,51,8,0.0,27,20,False,False,USA,Pittsburgh,PA,2025-11-02T18:00Z
9,HOU,DEN,,,,15,18,True,False,USA,Houston,TX,2025-11-02T18:00Z
9,LV,JAX,,,,29,30,True,False,USA,Las Vegas,NV,2025-11-02T21:05Z
9,LAR,NO,71,13,0.0,34,10,False,False,USA,Inglewood,CA,2025-11-02T21:05Z
9,BUF,KC,55,7,0.0,28,21,False,False,USA,Orchard Park,NY,2025-11-02T21:25Z
9,WSH,SEA,58,24,0.0,14,38,False,False,USA,Landover,MD,2025-11-03T01:20Z
9,DAL,ARI,,,,17,27,True,False,USA,Arlington,TX,2025-11-04T01:15Z
10,DEN,LV,56,20,0.0,10,7,False,False,USA,Denver,CO,2025-11-07T01:15Z
10,IND,ATL,46,4,0.0,31,25,False,True,Germany,Berlin,,2025-11-09T14:30Z
10,CHI,NYG,32,35,0.0,24,20,False,False,USA,Chicago,IL,2025-11-09T18:00Z
10,MIA,BUF,86,12,0.0,30,13,False,False,USA,Miami Gardens,FL,2025-11-09T18:00Z
10,MIN,BAL,,,,19,27,True,False,USA,Minneapolis,MN,2025-11-09T18:00Z
10,NYJ,CLE,59,17,0.0,27,20,False,False,USA,East Rutherford,NJ,2025-11-09T18:00Z
10,TB,NE,84,19,0.0,23,28,False,False,USA,Tampa,FL,2025-11-09T18:00Z
10,CAR,NO,71,28,0.0,7,17,False,False,USA,Charlotte,NC,2025-11-09T18:00Z
10,HOU,JAX,,,,36,29,True,False,USA,Houston,TX,2025-11-09T18:00Z
10,SEA,ARI,58,11,0.0,44,22,False,False,USA,Seattle,WA,2025-11-09T21:05Z
10,SF,LAR,74,11,0.0,26,42,False,False,USA,Santa Clara,CA,2025-11-09T21:25Z
10,WSH,DET,68,16,0.0,22,44,False,False,USA,Landover,MD,2025-11-09T21:25Z
10,LAC,PIT,72,14,0.0,25,10,False,False,USA,Inglewood,CA,2025-11-10T01:20Z
10,GB,PHI,35,17,0.0,7,10,False,False,USA,Green Bay,WI,2025-11-11T01:15Z
11,NE,NYJ,37,14,0.0,27,14,False,False,USA,Foxborough,MA,2025-11-14T01:15Z
11,MIA,WSH,,,,16,13,True,True,Spain,Madrid,,2025-11-16T14:30Z
11,ATL,CAR,,,,27,30,True,False,USA,Atlanta,GA,2025-11-16T18:00Z
11,BUF,TB,39,40,0.01,44,32,False,False,USA,Orchard Park,NY,2025-11-16T18:00Z
11,TEN,HOU,63,21,0.0,13,16,False,False,USA,Nashville,TN,2025-11-16T18:00Z
11,MIN,CHI,,,,17,19,True,False,USA,Minneapolis,MN,2025-11-16T18:00Z
11,NYG,GB,53,36,0.0,20,27,False,False,USA,East Rutherford,NJ,2025-11-16T18:00Z
11,PIT,CIN,44,34,0.0,34,12,False,False,USA,Pittsburgh,PA,2025-11-16T18:00Z
11,JAX,LAC,74,27,0.0,35,6,False,False,USA,Jacksonville,FL,2025-11-16T18:00Z
11,LAR,SEA,57,11,0.02,21,19,False,False,USA,Inglewood,CA,2025-11-16T21:05Z
11,ARI,SF,,,,22,41,True,False,USA,Glendale,AZ,2025-11-16T21:05Z
11,CLE,BAL,43,31,0.01,16,23,False,False,USA,Cleveland,OH,2025-11-16T21:25Z
11,DEN,KC,69,10,0.0,22,19,False,False,USA,Denver,CO,2025-11-16T21:25Z
11,PHI,DET,44,20,0.0,16,9,False,False,USA,Philadelphia,PA,2025-11-17T01:20Z
11,LV,DAL,,,,16,33,True,False,USA,Las Vegas,NV,2025-11-18T01:15Z
12,HOU,BUF,,,,23,19,True,False,USA,Houston,TX,2025-11-21T01:15Z
12,CHI,PIT,47,12,0.0,31,28,False,False,USA,Chicago,IL,2025-11-23T18:00Z
12,CIN,NE,51,12,0.0,20,26,False,False,USA,Cincinnati,OH,2025-11-23T18:00Z
12,DET,NYG,,,,34,27,True,False,USA,Detroit,MI,2025-11-23T18:00Z
12,GB,MIN,45,19,0.0,23,6,False,False,USA,Green Bay,WI,2025-11-23T18:00Z
12,TEN,SEA,56,6,0.0,24,30,False,False,USA,Nashville,TN,2025-11-23T18:00Z
12,KC,IND,53,10,0.0,23,20,False,False,USA,Kansas City,MO,2025-11-23T18:00Z
12,BAL,NYJ,52,14,0.0,23,10,False,False,USA,Baltimore,MD,2025-11-23T18:00Z
12,LV,CLE,,,,10,24,True,False,USA,Las Vegas,NV,2025-11-23T21:05Z
12,ARI,JAX,,,,24,27,True,False,USA,Glendale,AZ,2025-11-23T21:05Z
12,DAL,PHI,,,,24,21,True,False,USA,Arlington,TX,2025-11-23T21:25Z
12,NO,ATL,,,,10,24,True,False,USA,New Orleans,LA,2025-11-23T21:25Z
12,LAR,TB,65,5,0.0,34,7,False,False,USA,Inglewood,CA,2025-11-24T01:20Z
12,SF,CAR,60,11,0.0,20,9,False,False,USA,Santa Clara,CA,2025-11-25T01:15Z
13,DET,GB,,,,24,31,True,False,USA,Detroit,MI,2025-11-27T18:00Z
13,DAL,KC,,,,31,28,True,False,USA,Arlington,TX,2025-11-27T21:30Z
13,BAL,CIN,35,23,0.0,14,32,False,False,USA,Baltimore,MD,2025-11-28T01:20Z
13,PHI,CHI,41,35,0.0,15,24,False,False,USA,Philadelphia,PA,2025-11-28T20:00Z
13,CLE,SF,34,35,0.0,8,26,False,False,USA,Cleveland,OH,2025-11-30T18:00Z
13,TEN,JAX,40,20,0.0,3,25,False,False,USA,Nashville,TN,2025-11-30T18:00Z
13,IND,HOU,,,,16,20,True,False,USA,Indianapolis,IN,2025-11-30T18:00Z
13,MIA,NO,76,21,0.02,21,17,False,False,USA,Miami Gardens,FL,2025-11-30T18:00Z
