Rico Dowdle RB - CAR,The Injury Report
Emeka Egbuka WR - TB,Saquon Deez
Audric Estimé RB - NO,The Eskimo Brothers
Travis Etienne RB - JAX,The Eskimo Brothers
Mike Evans WR - TB,Annihilators
Harold Fannin Jr. TE - CLE View News,Annihilators
Jake Ferguson TE - DAL,Fishoutawater
Zay Flowers WR - BAL,Pidgin
Kenneth Gainwell RB - PIT,Annihilators
Jahmyr Gibbs RB - DET,Fishoutawater
Chris Godwin Jr. WR - TB,Fishoutawater
Jared Goff QB - DET,Fishoutawater
Breece Hall RB - NYJ,The Injury Report
Omarion Hampton RB - LAC,Sea Sharp
Marvin Harrison Jr. WR - ARI View News,The Eskimo Brothers
RJ Harvey RB - DEN,The Injury Report
TreVeyon Henderson RB - NE,Nixelodeon
Derrick Henry RB - BAL,Fishoutawater
Hunter Henry TE - NE,Saquon Deez
Justin Herbert QB - LAC,Fishoutawater
Tee Higgins WR - CIN,The Eskimo Brothers
Chuba Hubbard RB - CAR,The Injury Report
Bucky Irving RB - TB,Sea Sharp
Lamar Jackson QB - BAL,Saquon Deez
Ashton Jeanty RB - LV,Sea Sharp
Justin Jefferson WR - MIN,Striking Shibas
Jauan Jennings WR - SF,Saquon Deez
Juwan Johnson TE - NO,Fishoutawater
Quentin Johnston WR - LAC,Fishoutawater
Jawhar Jordan RB - HOU,Striking Shibas
Quinshon Judkins RB - CLE,The Eskimo Brothers
Alvin Kamara RB - NO,Saquon Deez
Travis Kelce TE - KC,The Injury Report
Dalton Kincaid TE - BUF,Saquon Deez
George Kittle TE - SF,The Eskimo Brothers
CeeDee Lamb WR - DAL,The Injury Report
Sam LaPorta TE - DET,Annihilators
Trevor Lawrence QB - JAX,Sea Sharp
Drake London WR - ATL View News,Striking Shibas
Woody Marks RB - HOU,Annihilators
Drake Maye QB - NE,Striking Shibas
Trey McBride TE - ARI,Chase-ing points
Christian McCaffrey RB - SF,Annihilators
Ladd McConkey WR - LAC,Striking Shibas
Tetairoa McMillan WR - CAR,Striking Shibas
DK Metcalf WR - PIT,Saquon Deez
Jakobi Meyers WR - JAX,Nixelodeon
David Montgomery RB - DET,Chase-ing points
Darnell Mooney WR - ATL,Pidgin
Bo Nix QB - DEN,Nixelodeon
Rome Odunze WR - CHI,The Eskimo Brothers
Chris Olave WR - NO,Fishoutawater
George Pickens WR - DAL,Nixelodeon
Michael Pittman WR - IND,The Injury Report
Kyle Pitts TE - ATL,Pidgin
Tony Pollard RB - TEN,Chase-ing points
Dak Prescott QB - DAL,Annihilators
Brock Purdy QB - SF,Chase-ing points
Rashee Rice WR - KC,Sea Sharp
Bijan Robinson RB - ATL,Nixelodeon
Wan'Dale Robinson WR - NYG,The Injury Report
Shedeur Sanders QB - CLE,Fishoutawater
Dalton Schultz TE - HOU,Sea Sharp
Khalil Shakir WR - BUF,The Injury Report
Cam Skattebo RB - NYG,Chase-ing points
Amon-Ra St. Brown WR - DET,Fishoutawater
C.J. Stroud QB - HOU,Sea Sharp
Courtland Sutton WR - DEN,The Eskimo Brothers
Jonathan Taylor RB - IND,Nixelodeon
Brian Thomas Jr. WR - JAX,Annihilators
Tyrone Tracy Jr. RB - NYG,The Eskimo Brothers
Kimani Vidal RB - LAC,The Eskimo Brothers
Jaylen Waddle WR - MIA,Sea Sharp
Jaylen Warren RB - PIT,Annihilators
Tyler Warren TE - IND,Striking Shibas
Jameson Williams WR - DET,Sea Sharp
Javonte Williams RB - DAL,Sea Sharp
Garrett Wilson WR - NYJ,Annihilators
Michael Wilson WR - ARI,Sea Sharp
Jason Myers K - SEA,Fishoutawater
Brandon Aubrey K - DAL,The Eskimo Brothers
Jake Bates K - DET,Chase-ing points
Chris Boswell K - PIT,Nixelodeon
Cameron Dicker K - LAC,The Injury Report
Ka'imi Fairbairn K - HOU,Striking Shibas
Matt Gay K,Saquon Deez
Tyler Loop K - BAL,Pidgin
Eddy Pineiro K - SF,Sea Sharp
Will Reichard K - MIN,Annihilators
Spencer Shrader K - IND,Fishoutawater
Los Angeles Rams DEF,Fishoutawater
Chicago Bears DEF,Annihilators
Philadelphia Eagles DEF,Pidgin
Seattle Seahawks DEF,The Eskimo Brothers
San Francisco 49ers DEF,Saquon Deez
Denver Broncos DEF,Chase-ing points
Tampa Bay Buccaneers DEF,The Injury Report
Kansas City Chiefs DEF,Nixelodeon
Jacksonville Jaguars DEF,Annihilators
Detroit Lions DEF,Striking Shibas
New England Patriots DEF,The Injury Report
New Orleans Saints DEF,Striking Shibas
Pittsburgh Steelers DEF,Nixelodeon
Houston Texans DEF,Sea Sharp
