name,position,team,adp,bye_week,injury_status,id
Isaiah Davis,RB,NYJ,273.59999999999997,9,Questionable,11571
Jaylen Waddle,WR,MIA,76.60000000000001,12,Healthy,7526
Ravens,DEF,BAL,195.20000000000002,7,Healthy,BAL
Quincy Williams,LB,NYJ,207.1,9,Healthy,6214
Younghoe Koo,K,ATL,237.5,5,Healthy,4666
Brandin Cooks,WR,NO,293.6,11,Healthy,2197
Daniel Jones,QB,IND,249.26000000000005,11,Healthy,5870
George Karlaftis,DL,KC,265.7,10,Healthy,8385
Darrynton Evans,RB,,287.0,0,Questionable,7064
T.J. Hockenson,TE,MIN,66.87142857142858,6,Healthy,5844
Marcus Major,RB,,268.0,0,Healthy,13154
Isaac TeSlaa,WR,DET,228.22857142857143,8,Healthy,12535
D'Andre Swift,RB,CHI,80.94285714285715,5,Healthy,6790
Geno Smith,QB,LV,211.32857142857142,8,Healthy,1373
Tua Tagovailoa,QB,MIA,174.92857142857142,12,Healthy,6768
Marshaun Coprich,RB,,282.0,0,Healthy,3531
Jalen Hurts,QB,PHI,23.5,9,Healthy,6904
Brett Hundley,QB,,282.2,0,Healthy,2450
Zach Wilson,QB,MIA,291.2,12,Healthy,7538
Elijah Mitchell,RB,KC,282.36,10,Healthy,7561
Ladd McConkey,WR,LAC,23.599999999999998,12,Healthy,11635
Brian Robinson,RB,SF,90.15714285714286,14,Healthy,8154
Shane Carden,QB,,293.0,0,Healthy,2903
Jermaine Terry,TE,,270.0,0,IR,13129
Rome Odunze,WR,CHI,65.45714285714286,5,Healthy,11620
Michael Wilson,WR,ARI,264.7714285714286,8,Healthy,10232
Nick Emmanwori,DB,SEA,285.1,8,Healthy,12597
Steelers,DEF,PIT,183.84285714285716,5,Healthy,PIT
Jordan Love,QB,GB,100.01428571428572,5,Healthy,6804
Braxton Berrios,WR,HOU,297.0,6,Healthy,5121
Matt Gay,K,WAS,251.1,12,Healthy,6083
Colts,DEF,IND,280.93333333333334,11,Healthy,IND
Demario Davis,LB,NO,373.6,11,Healthy,1052
Chris Godwin,WR,TB,104.51428571428572,9,Out,4037
Azeez Al-Shaair,LB,HOU,238.0,6,Healthy,6485
Tre Ford,QB,,298.2,0,Healthy,8553
Cameron Dicker,K,LAC,190.61666666666667,12,Healthy,8259
Isiah Pacheco,RB,KC,73.78571428571429,10,Healthy,8205
Kirk Cousins,QB,ATL,243.85,5,Healthy,1166
Jake Ferguson,TE,DAL,136.55714285714285,10,Healthy,8110
Calvin Jackson,WR,,276.0,0,Healthy,8251
E.J. Speed,LB,HOU,288.0,6,Healthy,6218
Will McDonald,DE,NYJ,349.3,9,Questionable,10883
Zach Ertz,TE,WAS,190.74285714285716,12,Healthy,1339
Devin Lloyd,LB,JAX,276.6,8,Healthy,8329
Trey Benson,RB,ARI,136.5857142857143,8,Healthy,11589
Kerby Joseph,DB,DET,245.0,8,Healthy,8348
Isaiah Likely,TE,BAL,145.67142857142858,7,Questionable,8131
Patrick Mahomes,QB,KC,37.84285714285714,10,Healthy,4046
Cardinals,DEF,ARI,201.2,8,Healthy,ARI
Shedeur Sanders,QB,CLE,194.8857142857143,9,Healthy,12524
Seahawks,DEF,SEA,233.08571428571426,8,Healthy,SEA
Ja'Marr Chase,WR,CIN,2.2857142857142856,10,Healthy,7564
Calvin Austin,WR,PIT,258.2333333333333,5,Questionable,8125
Dyami Brown,WR,JAX,259.5,8,Healthy,7587
Raiders,DEF,LV,279.2333333333333,8,Healthy,LV
Evan McPherson,K,CIN,229.5,10,Healthy,7839
Jalen Tolbert,WR,DAL,298.5,10,Healthy,8117
Yaya Diaby,DL,TB,281.3,9,Healthy,10921
Justin Herbert,QB,LAC,70.94285714285714,12,Healthy,6797
Tee Higgins,WR,CIN,37.42857142857143,10,Healthy,6801
Kenny Stills,WR,,279.0,0,Healthy,1555
Sam LaPorta,TE,DET,43.971428571428575,8,Healthy,10859
Budda Baker,DB,ARI,151.7,8,Healthy,4081
DeMario Douglas,WR,NE,208.54285714285714,14,Healthy,9501
Jalen Nailor,WR,MIN,286.9,6,Questionable,8180
DeForest Buckner,DT,IND,283.9,11,Questionable,3172
Luther Burden,WR,CHI,123.01428571428572,5,Healthy,12519
Dontayvion Wicks,WR,GB,257.34999999999997,5,Questionable,9486
Jets,DEF,NYJ,256.1333333333334,9,Healthy,NYJ
Brashard Smith,RB,KC,237.21428571428572,10,Healthy,12455
Lamar Jackson,QB,BAL,12.714285714285714,7,Questionable,4881
Jake Moody,K,SF,250.05,14,Healthy,10937
Jalen McMillan,WR,TB,167.79999999999998,9,IR,11618
Nick Cross,DB,IND,141.8,11,Questionable,8392
Trey Hendrickson,DE,CIN,172.7,10,Healthy,4135
Davante Adams,WR,LAR,66.58571428571429,8,Healthy,2133
Aaron Rodgers,QB,PIT,223.95714285714286,5,Healthy,96
Deebo Samuel,WR,WAS,105.58571428571429,12,Healthy,5872
Troy Hairston,RB,,264.0,0,Healthy,8820
Jamien Sherwood,LB,NYJ,177.6,9,Healthy,7841
Brenton Strange,TE,JAX,184.5142857142857,8,Healthy,9480
Tyler Shough,QB,NO,235.94285714285712,11,Healthy,12545
Chase McLaughlin,K,TB,223.16666666666666,9,Healthy,6650
Baker Mayfield,QB,TB,65.01428571428572,9,Healthy,4892
James Conner,RB,ARI,70.95714285714286,8,Healthy,4137
Tyler Warren,TE,IND,72.3,11,Healthy,12518
Brandon Jones,DB,DEN,242.9,12,Healthy,6911
Laiatu Latu,DL,IND,337.7,11,Healthy,11669
Sean Tucker,RB,TB,261.0,9,Healthy,9506
Christian Watson,WR,GB,278.1333333333333,5,PUP,8167
Alex Highsmith,LB,PIT,251.4,5,Healthy,7113
Tre' Harris,WR,LAC,124.17142857142858,12,Healthy,12509
Jakobi Meyers,WR,LV,106.82857142857142,8,Healthy,5947
Isaac Guerendo,RB,SF,161.17142857142858,14,Healthy,11651
Andrew Van Ginkel,LB,MIN,166.9,6,Questionable,6183
Zach Allen,DE,DEN,335.2,12,Healthy,5871
Tyler Higbee,TE,LAR,274.975,8,Healthy,3271
Nick Chubb,RB,HOU,173.35714285714286,6,Healthy,4988
Ricky Pearsall,WR,SF,96.91428571428573,14,Healthy,11638
Emeka Egbuka,WR,TB,84.44285714285715,9,Healthy,12514
Jacob Dolegala,QB,,293.0,0,Healthy,6317
Nico Collins,WR,HOU,17.642857142857142,6,Healthy,7569
Jonathon Cooper,DL,DEN,271.0,12,Healthy,7765
Bryce Young,QB,CAR,151.18571428571428,14,Healthy,9228
Terrance Ferguson,TE,LAR,211.97142857142856,8,Healthy,12487
Cowboys,DEF,DAL,263.8333333333333,10,Healthy,DAL
Jordan Mason,RB,MIN,127.21428571428571,6,Healthy,8408
Luke McCaffrey,WR,WAS,274.23333333333335,12,Healthy,11650
Jake Elliott,K,PHI,220.04999999999998,9,Healthy,4195
Rico Dowdle,RB,CAR,192.64285714285714,14,Healthy,7021
Roman Wilson,WR,PIT,255.25714285714284,5,Healthy,11630
George Pickens,WR,DAL,67.42857142857143,10,Healthy,8137
Dexter Williams,RB,,266.0,0,Healthy,6153
Tucker Kraft,TE,GB,107.84285714285714,5,Healthy,9484
Theo Johnson,TE,NYG,254.91428571428574,14,Healthy,11597
Braelon Allen,RB,NYJ,168.97142857142856,9,Healthy,11576
Dorian Williams,LB,BUF,391.8,7,Healthy,10923
Elijah Moore,WR,BUF,266.95000000000005,7,Healthy,7596
Garrett Wilson,WR,NYJ,32.98571428571429,9,Healthy,8146
Austin Ekeler,RB,WAS,174.22857142857143,12,Healthy,4663
Keaton Mitchell,RB,BAL,252.62857142857143,7,Healthy,9511
Tahj Brooks,RB,CIN,254.6,10,Healthy,12543
Bobby Okereke,LB,NYG,152.2,14,Healthy,5944
Commanders,DEF,WAS,192.25714285714284,12,Healthy,WAS
Blake Corum,RB,LAR,198.72857142857143,8,Healthy,11586
Kaleb Johnson,RB,PIT,68.68571428571428,5,Healthy,12504
James Pearce,DL,ATL,338.4,5,Healthy,12585
Woody Marks,RB,HOU,229.85714285714286,6,Healthy,12474
Tyreek Hill,WR,MIA,48.18571428571429,12,Questionable,3321
Chargers,DEF,LAC,240.33333333333334,12,Healthy,LAC
Mike Evans,WR,TB,58.41428571428571,9,Healthy,2216
Tutu Atwell,WR,LAR,284.2,8,Healthy,7562
T.J. Watt,LB,PIT,96.5,5,Healthy,4070
Tyler Allgeier,RB,ATL,177.45714285714286,5,Healthy,8132
Jimmy Horn,WR,CAR,248.20000000000002,14,Healthy,12523
RJ Harvey,RB,DEN,58.371428571428574,12,Healthy,12489
Savion Williams,WR,GB,252.63333333333333,5,Questionable,12482
Kenjon Barner,RB,,283.0,0,Healthy,1546
Jalen Guyton,WR,,298.0,0,Healthy,6421
Bobby Wagner,LB,WAS,187.1,12,Healthy,1233
Zaire Franklin,LB,IND,76.5,11,Questionable,5346
Luke Falk,QB,,283.0,0,Healthy,5108
Carlos Henderson,WR,,281.0,0,Healthy,4108
Ben Sinnott,TE,WAS,266.9,12,Healthy,11596
Derrick Henry,RB,BAL,25.185714285714287,7,Healthy,3198
Cam Ward,QB,TEN,113.71428571428571,10,Healthy,12522
Jerome Ford,RB,CLE,191.02857142857144,9,Healthy,8143
