id,name,team,position,bye_week,fantasy_points,injury_status,drafted,locked,data_method,week_1_points,week_2_points,week_3_points,week_4_points,week_5_points,week_6_points,week_7_points,week_8_points,week_9_points,week_10_points,week_11_points,week_12_points,week_13_points,week_14_points,week_15_points,week_16_points,week_17_points
11252,Joe Flacco,CLE,QB,9,194.22762457999997,ACTIVE,0,0,weekly,14.83690096,12.12571281,10.65784093,12.20049829,11.42366873,12.33632465,13.94883093,13.02282109,0.0,12.16680816,12.115515,12.04718501,12.37319724,12.75093933,13.48484208,12.10864807,12.63050507
4360797,Tutu Atwell,LAR,WR,8,54.76653748,ACTIVE,0,0,weekly,6.38339419,4.89612668,4.38035936,3.73903936,3.82733756,3.90296878,3.70646692,0.0,3.66127885,3.84017237,3.64547894,3.89395358,3.7843276,3.71012462,3.92812716,3.65826035,3.68864203
4429148,Theo Johnson,NYG,TE,14,98.61120235,ACTIVE,0,0,weekly,7.63951531,7.4,6.38843729,6.2651494,6.23683132,6.41943909,6.32590819,6.43526756,6.47260569,6.69791894,6.269634,6.64721707,6.63633295,0.0,6.48731625,6.06499083,6.39432057
4678006,Elijah Arroyo,SEA,TE,8,69.90859056999999,ACTIVE,0,0,weekly,4.90569516,3.93306613,4.39529965,4.49619039,4.70072006,4.49660168,4.4031312,0.0,4.66141696,4.47175702,4.59628409,4.44452061,4.32495241,4.46935911,4.51783478,4.57170105,4.55882156
4426339,Spencer Rattler,NO,QB,11,232.77483125999998,ACTIVE,0,0,weekly,11.46,21.68,13.19744161,13.81894663,14.66931126,15.18018318,15.43863203,14.85508247,13.68456015,14.97055563,0.0,13.99013261,15.60512642,14.53770078,15.28492696,14.42436411,14.43845387
-16005,Browns D/ST,CLE,DST,9,93.44329152,ACTIVE,0,0,weekly,4.29914125,2.65875931,4.4036262,3.32729659,7.6038611,6.7572651,4.90458946,6.21165456,0.0,7.1256047,3.31739288,6.69505045,4.28063775,6.57731296,6.23154318,3.76581088,7.24164571
4362619,Chris Rodriguez Jr.,WSH,RB,12,55.25348823,ACTIVE,0,0,weekly,0.0,0.0,4.33513196,3.79751057,3.59964219,4.30493469,4.09448575,3.67212288,3.85958932,3.74215766,4.27698014,0.0,3.7765559,3.77981441,4.08564992,3.70531633,4.22359651
4362921,Tyquan Thornton,KC,WR,10,38.875564530000005,ACTIVE,0,0,weekly,6.1,13.9,5.86551868,5.40442304,5.17877037,5.45269223,0.58974105,0.60398399,0.59779699,0.0,0.58453435,0.58791082,0.6378164,0.57139165,0.58093056,0.58007191,0.58370422
4034949,Eddy Pineiro,SF,K,14,123.87109056000001,ACTIVE,0,0,weekly,0.0,10.0,8.28224907,8.28148088,8.08755899,8.22905216,8.28174528,8.01258354,8.29577128,8.21285022,8.1569481,8.56168336,8.0837048,0.0,8.48820465,8.15654596,8.49352134
4597500,Adonai Mitchell,IND,WR,11,62.62529765,ACTIVE,0,0,weekly,4.1,3.25918942,3.81023128,3.88435454,3.78209521,3.8274072,3.82717905,3.80252464,3.90868457,3.81820436,0.0,3.87312687,3.73698706,3.82684297,3.76183632,3.9038811,3.82147233
3115306,Josh Reynolds,NYJ,WR,9,82.11743473000001,OUT,0,0,weekly,5.67632954,0.0,0.0,6.21328389,6.40459434,5.85809416,5.9835683,6.06196862,0.0,5.63792855,6.17037512,6.13974016,5.81282992,6.20993646,5.85127699,5.8167385,6.15709972
16731,Brandin Cooks,NO,WR,11,79.27344980000001,ACTIVE,0,0,weekly,5.6,4.6,4.70401586,4.8812961,4.85493757,5.06429653,5.12443418,5.01989461,4.84734157,4.89871892,0.0,4.73106651,5.11675205,5.01915847,4.89817908,4.74977216,4.76922568
4569603,Malik Washington,MIA,WR,12,125.21676435,ACTIVE,0,0,weekly,4.9,8.3750281,8.0571893,8.13781341,8.3009969,7.94289683,7.78944445,7.96562531,8.21153708,8.09405651,8.24152616,0.0,8.16244929,8.0710047,8.18434526,8.3342193,8.34083637
2576414,Raheem Mostert,LV,RB,8,46.22094905,ACTIVE,0,0,seasonal,2.718879355882353,2.718879355882353,2.718879355882353,2.718879355882353,2.718879355882353,2.718879355882353,2.718879355882353,2.718879355882353,2.718879355882353,2.718879355882353,2.718879355882353,2.718879355882353,2.718879355882353,2.718879355882353,2.718879355882353,2.718879355882353,2.718879355882353
4429084,Anthony Richardson Sr.,IND,QB,11,70.36818771,ACTIVE,0,0,seasonal,4.139305159411765,4.139305159411765,4.139305159411765,4.139305159411765,4.139305159411765,4.139305159411765,4.139305159411765,4.139305159411765,4.139305159411765,4.139305159411765,4.139305159411765,4.139305159411765,4.139305159411765,4.139305159411765,4.139305159411765,4.139305159411765,4.139305159411765
3116389,Samaje Perine,CIN,RB,10,53.728702010000006,ACTIVE,0,0,weekly,3.86031414,5.51413025,3.5486453,3.55837917,3.67623842,3.36911097,3.70200331,3.71735977,3.89048814,0.0,3.65945717,3.76257993,3.58982891,3.57695565,3.63368057,3.83768167,3.60629303
4428085,Luke Musgrave,GB,TE,5,47.10234058,ACTIVE,0,0,weekly,2.00717804,1.0759523,3.02741702,3.40579019,0.0,3.21713579,3.13132346,3.21978213,3.16245765,2.65435534,2.621083,2.4932301,2.75261898,2.73523456,2.61280277,2.75038699,2.7187226
4366031,Tank Dell,HOU,WR,6,132.21356297,OUT,0,0,weekly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4360078,Alec Pierce,IND,WR,11,92.80025902999999,ACTIVE,0,0,weekly,4.6,6.26147081,5.49363642,5.6582858,5.58836464,5.51452838,5.54165507,5.46429281,5.70216921,5.49292807,0.0,5.65389879,5.42714326,5.53918394,5.46288357,5.70621017,5.51471552
-16013,Raiders D/ST,LV,DST,8,89.77050025,ACTIVE,0,0,weekly,4.33647447,4.25037141,5.5258485,5.83583822,5.51705542,6.5158033,3.81309457,0.0,4.82687454,4.61614829,4.65138789,6.74555321,4.24006215,4.78671102,4.75078193,5.06055708,6.88478413
4597703,Tory Horton,SEA,WR,8,82.93571951999999,ACTIVE,0,0,weekly,4.47129035,4.56111039,5.02318633,5.10618898,5.34159613,5.10148932,4.99584353,0.0,5.28934203,5.09058992,5.20694329,5.05684003,4.91832233,5.07447344,5.14610256,5.19096668,5.19383495
4382466,Jalen Nailor,MIN,WR,6,59.96459345000001,ACTIVE,0,0,weekly,3.52568099,6.1,8.50042265,3.08540633,2.91126906,0.0,3.15746251,3.05248621,3.2445046,3.21051437,3.30795383,3.02931587,3.02457209,3.19484503,3.39388248,3.14040027,3.24911461
3915411,Ty Johnson,BUF,RB,7,56.443653270000006,ACTIVE,0,0,weekly,2.4,4.16538923,3.98406137,3.83060003,3.89408245,3.73502317,0.0,3.88548662,3.78369886,3.9630721,3.84480693,3.73787651,3.82782454,3.86276007,3.87114727,3.63670967,3.77030926
4363538,Chad Ryland,ARI,K,8,126.29403008999999,ACTIVE,0,0,weekly,10.0,7.94431384,7.71185673,7.69626901,8.03823306,7.71231712,7.41872437,0.0,8.05985857,7.57322111,7.83491398,7.83502071,7.78320323,7.76749086,7.5712198,7.83529052,7.84893461
4258595,Cole Kmet,CHI,TE,5,75.87435823,ACTIVE,0,0,weekly,2.50360553,4.9,5.03932201,4.73263956,0.0,4.82024751,4.58668986,4.89234047,4.8101573,4.69541384,4.51129245,4.77625752,4.77973263,4.67919009,4.49415157,4.66091923,4.8136335
12460,Graham Gano,NYG,K,14,122.39693674999998,ACTIVE,0,0,weekly,7.38365517,13.0,7.67562575,7.60378228,7.83008988,7.60734485,7.41172131,7.48286974,7.7449441,7.83122712,7.32389527,7.55496444,7.76092296,0.0,7.81881084,7.53638479,7.68960544
2976592,Sterling Shepard,TB,WR,9,44.63765667999999,ACTIVE,0,0,weekly,6.9,7.4,8.42494444,1.73966372,1.67745061,1.74768219,1.77497687,1.71706453,0.0,1.79164519,1.73991546,1.72466439,1.7197646,1.72513771,1.71632597,1.76583514,1.81161789
-16018,Saints D/ST,NO,DST,11,78.24036468,ACTIVE,0,0,weekly,9.0,5.0,5.7191982,2.56989913,5.83190567,5.61024394,5.18184304,4.04567343,3.51239831,5.46497941,0.0,3.71504781,3.80164377,4.17475778,6.34658993,6.43825844,6.10909893
4368003,Andrei Iosivas,CIN,WR,10,55.17890166,ACTIVE,0,0,weekly,4.19078836,4.37544658,3.55684479,3.69421573,3.89058498,3.65432768,3.791072,3.6768533,3.94220308,0.0,3.79384973,3.90151487,3.84799063,3.75826895,3.84815298,3.93827913,3.68474381
4596334,Keaton Mitchell,BAL,RB,7,27.46882409,ACTIVE,0,0,seasonal,1.6158131817647057,1.6158131817647057,1.6158131817647057,1.6158131817647057,1.6158131817647057,1.6158131817647057,1.6158131817647057,1.6158131817647057,1.6158131817647057,1.6158131817647057,1.6158131817647057,1.6158131817647057,1.6158131817647057,1.6158131817647057,1.6158131817647057,1.6158131817647057,1.6158131817647057
4569923,Andy Borregales,NE,K,14,126.29677152,ACTIVE,0,0,weekly,7.84703926,7.90885016,7.82882634,8.16622575,7.64066436,7.97772723,7.97348114,7.82533759,7.8955665,7.84427504,7.96239303,7.9091962,8.02999798,0.0,7.76201327,7.63999066,7.84107643
14163,Tyrod Taylor,NYJ,QB,9,24.06044237,ACTIVE,0,0,weekly,0.11186416,0.0,15.72044237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4685350,Trevor Etienne,CAR,RB,14,16.52270224,ACTIVE,0,0,weekly,1.40326865,0.55138913,1.05850872,1.08295665,1.1263133,1.13854693,1.06746118,1.05696242,0.97128732,1.08509792,1.04104617,1.05219571,1.05533243,0.0,1.07062327,1.07508516,1.04128506
2468609,Taysom Hill,NO,TE,11,94.84000000000002,OUT,0,0,weekly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3121409,Noah Brown,WSH,WR,12,67.18493486999999,OUT,0,0,weekly,5.71255884,5.7901229,0.0,4.55251832,4.5787572,4.77870551,4.90822168,4.62561032,4.47297293,4.79559177,4.75052664,0.0,4.58726042,4.4154888,4.57641438,4.67644849,4.86641841
4257364,Zavier Scott,MIN,RB,6,30.555496409999996,ACTIVE,0,0,weekly,0.0,0.0,6.01109352,5.83239562,5.55271036,0.0,5.15929691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3930086,Dawson Knox,BUF,TE,7,55.60390341000001,ACTIVE,0,0,weekly,4.0,3.29319576,3.83062862,3.61899188,3.84929285,3.68771081,0.0,3.74566926,3.7597985,3.87369355,3.85591713,3.66299223,3.80978445,3.78446291,3.8771022,3.59658737,3.79306451
4361409,Jahan Dotson,PHI,WR,9,48.43243283,ACTIVE,0,0,weekly,8.9,1.4,3.05654473,3.15562632,3.01946683,3.03104625,2.91967942,3.01171566,0.0,3.02977252,3.18086016,3.26698775,3.17331587,3.0031078,3.02365357,3.11302755,3.09693683
4241555,Elijah Mitchell,KC,RB,10,1.0,ACTIVE,0,0,adp,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
3149687,Chris Brooks,GB,RB,5,59.79529758,ACTIVE,0,0,weekly,3.11824372,4.47185877,3.57540267,3.96412245,0.0,3.79624007,3.66958293,3.79065915,3.79772203,3.71591079,3.76396972,3.62338054,3.80368454,3.91672056,3.68802093,3.91306066,3.77682054
4431268,Chimere Dike,TEN,WR,10,76.9445542,ACTIVE,0,0,weekly,2.12243459,4.74032112,6.2521026,6.00823756,5.05169229,5.06563039,5.32114083,5.10208948,5.02545099,0.0,4.99156161,5.00711269,5.10522419,4.89365055,5.12019931,5.11276427,5.18769744
3128390,Allen Lazard,NYJ,WR,9,14.164065829999998,ACTIVE,0,0,weekly,0.0,3.5089629,3.39142298,0.85642557,0.88380822,0.8056167,0.82150334,0.83397864,0.0,0.7724318,0.8512584,0.84564166,0.79671814,0.85562418,0.80330894,0.79752718,0.84880008
4596602,Brashard Smith,KC,RB,10,15.289625990000001,ACTIVE,0,0,weekly,3.08060926,1.22043699,1.11484545,1.06207285,1.0595639,1.07592922,1.09981216,1.08406051,1.03633851,0.0,1.0364658,1.08980483,1.13200944,1.07037673,1.04522273,1.12701308,1.05611078
4360294,Antonio Gibson,NE,RB,14,52.11297511,ACTIVE,0,0,weekly,0.55121613,1.01951976,3.01053853,3.20133813,2.82502756,3.06250465,3.17538264,2.88281385,2.97595933,2.8967552,3.11146792,2.98386361,3.15732616,0.0,2.90405348,2.79309842,3.03284563
-16010,Titans D/ST,TEN,DST,10,71.23281071,ACTIVE,0,0,weekly,9.0,3.18290846,5.12419628,4.31244118,4.29010209,5.54795521,5.22491257,4.66109819,3.62764987,0.0,4.77593757,5.46183961,4.10305895,5.96382065,2.96575574,3.44158778,6.5041
4430871,Sean Tucker,TB,RB,9,17.508069380000002,ACTIVE,0,0,weekly,0.2,0.0,1.05055318,1.01769154,0.99852942,1.03202972,1.02445822,1.03911167,0.0,1.05692772,1.01389547,1.01187904,1.01707621,1.05167553,1.02412635,1.06132036,1.08059842
16002,Kyle Juszczyk,SF,RB,14,25.800812089999997,ACTIVE,0,0,weekly,5.2,1.5,1.56103126,1.626811,1.66816092,1.67512441,1.58996857,1.59589918,1.629364,1.6296481,1.60409369,1.6198244,1.55913609,0.0,1.59312717,1.62670118,1.69266756
4259619,Blake Grupe,NO,K,11,119.64137609000001,ACTIVE,0,0,weekly,6.0,2.0,7.18516903,7.18584662,7.58424477,7.58654614,7.53261993,7.51704583,7.25482454,7.59929458,0.0,7.44746195,7.66738643,7.39326555,7.72304095,7.51629427,7.52694006
3917914,Olamide Zaccheaus,CHI,WR,5,111.78510084999999,ACTIVE,0,0,weekly,3.91184886,4.1,8.07152104,6.99457722,0.0,7.12004257,6.8149261,7.1956876,7.11811918,6.97032234,6.61927836,7.06176382,7.02551369,6.8326123,6.62816352,6.82161999,7.09925299
4431492,Roman Wilson,PIT,WR,5,30.652884569999998,ACTIVE,0,0,weekly,3.90139547,1.7,2.12787518,1.92007344,0.0,1.93262082,2.07974698,1.97630534,2.02339028,1.98517985,2.08079773,2.15226065,2.04268815,2.09117082,2.15009851,2.11714864,1.93122063
4361777,Zamir White,LV,RB,8,51.174973460000004,ACTIVE,0,0,weekly,3.75685378,3.1569462,3.34397044,3.64456689,3.33588545,3.6322319,3.23924961,0.0,3.34840423,3.20851554,3.62693364,3.24288406,3.17422443,3.28497651,3.18312116,3.26656311,3.54344649
4568263,Ryan Fitzgerald,CAR,K,14,116.31890919000001,ACTIVE,0,0,weekly,7.45472049,7.66386459,7.67350142,7.68811522,7.99959639,8.00372097,7.62106862,7.5447472,7.16124057,7.86949033,7.55669768,7.55642541,7.60919177,0.0,7.75269084,7.74097261,7.54145016
4240472,Noah Gray,KC,TE,10,67.05055044,ACTIVE,0,0,weekly,1.3,1.1,4.54227342,4.68166736,4.47702521,4.7177597,3.89745081,3.96785652,3.94017371,0.0,3.87580014,3.87504848,4.18974564,3.78263207,3.82991242,3.82852079,3.8627831
4682652,Devin Neal,NO,RB,11,15.838983840000001,ACTIVE,0,0,weekly,3.08231363,2.56640738,1.00226105,0.99488241,1.10413172,1.08251733,1.11012673,1.05069476,1.00459065,1.09516255,0.0,1.04236552,1.11345338,1.02603108,1.1204968,1.08588053,1.10638933
4695193,Efton Chism III,NE,WR,14,12.83440076,ACTIVE,0,0,seasonal,0.7549647505882353,0.7549647505882353,0.7549647505882353,0.7549647505882353,0.7549647505882353,0.7549647505882353,0.7549647505882353,0.7549647505882353,0.7549647505882353,0.7549647505882353,0.7549647505882353,0.7549647505882353,0.7549647505882353,0.7549647505882353,0.7549647505882353,0.7549647505882353,0.7549647505882353
4710341,Jarquez Hunter,LAR,RB,8,0.23945566,ACTIVE,0,0,seasonal,0.01408562705882353,0.01408562705882353,0.01408562705882353,0.01408562705882353,0.01408562705882353,0.01408562705882353,0.01408562705882353,0.01408562705882353,0.01408562705882353,0.01408562705882353,0.01408562705882353,0.01408562705882353,0.01408562705882353,0.01408562705882353,0.01408562705882353,0.01408562705882353,0.01408562705882353
4239934,AJ Dillon,PHI,RB,9,3.7459168500000004,ACTIVE,0,0,weekly,1.0,1.9,1.59826243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
