id,name,team,position,bye_week,fantasy_points,injury_status,drafted_by,locked,average_draft_position,player_rating,week_1_points,week_2_points,week_3_points,week_4_points,week_5_points,week_6_points,week_7_points,week_8_points,week_9_points,week_10_points,week_11_points,week_12_points,week_13_points,week_14_points,week_15_points,week_16_points,week_17_points
-16034,Texans D/ST,HOU,DST,6,6.8135342,ACTIVE,Sea Sharp,False,170.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4259545,D'Andre Swift,CHI,RB,5,13.9118814,ACTIVE,Saint Nix,False,170.0,71.46616541353383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4372016,Jaylen Waddle,MIA,WR,12,13.20714294,ACTIVE,Sea Sharp,False,170.0,80.36534446764092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15847,Travis Kelce,KC,TE,10,10.17673401,ACTIVE,The Injury Report,False,170.0,76.6180904522613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4239996,Travis Etienne Jr.,JAX,RB,8,15.75820865,ACTIVE,The Eskimo Brothers,False,170.0,83.87218045112782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3128429,Courtland Sutton,DEN,WR,12,14.43520532,ACTIVE,The Eskimo Brothers,False,170.0,72.30480167014613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2577417,Dak Prescott,DAL,QB,10,20.47260557,ACTIVE,Annihilators,False,170.0,65.3248730964467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3040151,George Kittle,SF,TE,14,0.0,QUESTIONABLE,The Eskimo Brothers,False,170.0,96.02010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12483,Matthew Stafford,LAR,QB,8,19.43922999,ACTIVE,Saint Nix,False,170.0,88.44162436548223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3916387,Lamar Jackson,BAL,QB,7,0.0,QUESTIONABLE,Saquon Deez,False,170.0,61.80710659898477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
