id,name,team,position,bye_week,drafted,locked,fantasy_points,average_draft_position,player_rating,injury_status,week_1_points,week_2_points,week_3_points,week_4_points,week_5_points,week_6_points,week_7_points,week_8_points,week_9_points,week_10_points,week_11_points,week_12_points,week_13_points,week_14_points,week_15_points,week_16_points,week_17_points
4035538,David Montgomery,DET,RB,9,0,0,200.4,80.7,87.2,ACTIVE,13.4,12.4,,34.1,20.9,4.3,,,,17.6,17.8,15.1,13.2,12.7,12.7,13.2,13.0
4361529,Isiah Pacheco,KC,RB,10,0,0,200.3,45.5,93.3,ACTIVE,9.4,8.0,15.8,24.8,13.4,15.8,16.0,6.7,6.6,,10.1,25.9,16.3,,,15.3,16.2
2577327,Tyler Lockett,SEA,WR,5,0,0,199.7,151.8,90.2,ACTIVE,3.0,25.9,8.4,9.4,,15.4,7.8,22.1,6.2,23.2,10.1,6.0,13.9,12.0,12.1,12.1,12.1
3916433,Jakobi Meyers,LV,WR,13,0,0,197.8,62.1,93.3,ACTIVE,29.1,,15.5,5.3,20.5,17.1,18.0,2.9,13.5,4.1,8.9,20.1,,9.1,10.5,11.7,11.5
4429615,Zay Flowers,BAL,WR,13,0,0,197.1,82.2,91.2,ACTIVE,17.7,10.8,13.0,8.0,12.3,17.1,11.5,6.9,2.1,12.3,8.0,23.2,,13.3,13.7,13.5,13.6
3128429,Courtland Sutton,DEN,WR,9,0,0,197.0,148.3,91.6,QUESTIONABLE,13.2,11.6,19.1,11.7,2.3,14.6,19.6,10.9,,17.3,16.6,9.1,13.4,13.1,13.2,11.3,
3121422,Terry McLaurin,WSH,WR,14,0,0,196.0,128.6,92.3,ACTIVE,5.1,16.4,10.1,22.6,8.9,14.1,15.0,17.3,12.3,7.3,9.3,9.0,13.5,,12.0,11.4,11.7
4569987,Jaylen Warren,PIT,RB,6,0,0,195.9,154.9,86.7,ACTIVE,6.8,12.6,8.2,11.5,10.9,,10.1,7.8,14.3,19.0,23.5,7.2,13.9,11.8,12.0,12.9,13.4
4241474,Brian Robinson Jr.,WSH,RB,14,0,0,194.6,155.0,97.8,ACTIVE,13.6,28.9,7.0,13.1,8.3,13.6,8.3,9.9,11.7,27.7,20.2,8.4,11.5,,,,12.3
4372019,Jerome Ford,CLE,RB,5,0,0,193.6,140.7,87.8,ACTIVE,1.6,24.1,19.1,9.5,,11.1,17.4,4.9,12.7,11.9,11.9,11.9,12.5,11.4,11.5,10.5,11.6
4567048,Kenneth Walker III,SEA,RB,5,0,0,191.9,36.9,88.9,ACTIVE,10.7,18.4,30.6,13.9,,17.9,13.1,8.0,2.7,19.7,2.6,,,11.5,13.7,14.2,14.8
15864,Geno Smith,SEA,QB,5,0,0,189.5,166.4,82.4,ACTIVE,9.1,23.1,15.4,9.2,,11.0,13.8,13.9,2.7,24.1,13.2,7.3,14.8,,,16.1,15.9
3116165,Chris Godwin,TB,WR,5,0,0,188.4,142.6,87.0,ACTIVE,10.1,10.8,8.2,19.4,,13.7,12.6,17.8,3.6,9.4,9.9,7.5,11.8,12.0,12.6,14.1,14.9
3068267,Austin Ekeler,WSH,RB,14,0,0,188.2,10.5,86.1,ACTIVE,26.4,,,,,10.2,5.6,23.3,21.0,21.5,7.0,9.4,17.9,,15.3,14.8,15.9
3044720,Joshua Dobbs,SF,QB,9,0,0,186.2,167.9,90.7,ACTIVE,1.0,25.2,17.1,23.4,8.7,10.1,16.1,22.9,,25.1,16.9,4.5,,15.0,,,
